time,src,dst,protocol,alert
19:19:17,192.168.29.122,239.255.255.250,17,⚠️ ML Flagged as Anomaly
19:19:30,192.168.29.110,170.72.239.201,6,
19:19:30,170.72.239.201,192.168.29.110,6,
19:19:30,170.72.239.201,192.168.29.110,6,
19:19:30,192.168.29.110,170.72.239.201,6,
19:19:30,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,13.89.179.10,192.168.29.110,6,
19:19:31,13.89.179.10,192.168.29.110,6,
19:19:31,192.168.29.110,13.89.179.10,6,
19:19:31,192.168.29.1,224.0.0.1,2,
19:19:31,192.168.29.110,224.0.0.22,2,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,224.0.0.22,2,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,224.0.0.22,2,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,20.42.73.28,192.168.29.110,6,
19:19:31,192.168.29.110,20.42.73.28,6,
19:19:31,192.168.29.110,162.159.136.234,6,
19:19:32,162.159.136.234,192.168.29.110,6,
19:19:32,162.159.136.234,192.168.29.110,6,
19:19:32,192.168.29.110,162.159.136.234,6,
19:19:32,192.168.29.110,13.89.179.10,6,
19:19:32,192.168.29.110,13.89.179.10,6,
19:19:33,192.168.29.110,13.89.179.10,6,
19:19:33,192.168.29.110,13.89.179.10,6,
19:19:33,192.168.29.110,13.89.179.10,6,
19:19:33,13.89.179.10,192.168.29.110,6,
19:19:33,13.89.179.10,192.168.29.110,6,
19:19:33,13.89.179.10,192.168.29.110,6,
19:19:33,192.168.29.110,13.89.179.10,6,
19:19:33,192.168.29.122,224.0.0.251,17,⚠️ ML Flagged as Anomaly
19:19:45,170.72.239.23,192.168.29.110,6,
19:19:45,192.168.29.110,170.72.239.23,6,
19:19:45,170.72.239.201,192.168.29.110,6,
19:19:45,192.168.29.110,170.72.239.201,6,
19:19:45,192.168.29.122,224.0.0.22,2,
19:19:45,170.72.239.201,192.168.29.110,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:45,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,52.27.39.229,192.168.29.110,6,
19:19:46,192.168.29.110,52.27.39.229,6,
19:19:46,192.168.29.110,20.42.73.28,6,
19:19:47,192.168.29.110,20.42.73.28,6,
19:19:47,192.168.29.110,20.42.73.28,6,
19:19:47,20.42.73.28,192.168.29.110,6,
19:19:47,20.42.73.28,192.168.29.110,6,
19:19:47,192.168.29.110,20.42.73.28,6,
19:19:47,20.42.73.28,192.168.29.110,6,
19:19:47,192.168.29.110,52.27.39.229,6,
